=== Logger: VulkanApp ===
[11:59:33.276] [VulkanApp] [INFO] Vulkan Application Starting

  === Logger: Renderer ===
  [11:59:34.790] [Renderer] [INFO] FPS: 540.25 | Avg: 810.94 | Min: 70.10 | Max: 4132.23 | Frames: 60
  [11:59:34.819] [Renderer] [INFO] FPS: 3030.30 | Avg: 1167.82 | Min: 70.10 | Max: 5291.01 | Frames: 120
  [11:59:34.845] [Renderer] [INFO] FPS: 3095.98 | Avg: 1394.55 | Min: 70.10 | Max: 5586.59 | Frames: 180
  [11:59:34.872] [Renderer] [INFO] FPS: 3144.65 | Avg: 1538.36 | Min: 70.10 | Max: 5586.59 | Frames: 240
  [11:59:34.899] [Renderer] [INFO] FPS: 3267.97 | Avg: 1637.92 | Min: 70.10 | Max: 5649.72 | Frames: 300
  [11:59:34.936] [Renderer] [INFO] FPS: 2277.90 | Avg: 1637.52 | Min: 70.10 | Max: 5649.72 | Frames: 360
  [11:59:34.959] [Renderer] [INFO] FPS: 2857.14 | Avg: 1732.83 | Min: 70.10 | Max: 5780.35 | Frames: 420
  [11:59:34.983] [Renderer] [INFO] FPS: 2298.85 | Avg: 1798.10 | Min: 70.10 | Max: 5780.35 | Frames: 480
  [11:59:35.012] [Renderer] [INFO] FPS: 2985.07 | Avg: 1828.49 | Min: 70.10 | Max: 5780.35 | Frames: 540
  [11:59:35.040] [Renderer] [INFO] FPS: 3134.80 | Avg: 1853.56 | Min: 70.10 | Max: 5780.35 | Frames: 600
  [11:59:35.068] [Renderer] [INFO] FPS: 2717.39 | Avg: 1875.46 | Min: 70.10 | Max: 5780.35 | Frames: 660
  [11:59:35.097] [Renderer] [INFO] FPS: 1612.90 | Avg: 1892.58 | Min: 70.10 | Max: 5780.35 | Frames: 720
  [11:59:35.120] [Renderer] [INFO] FPS: 3021.15 | Avg: 1930.31 | Min: 70.10 | Max: 5780.35 | Frames: 780
  [11:59:35.146] [Renderer] [INFO] FPS: 2298.85 | Avg: 1954.65 | Min: 70.10 | Max: 5780.35 | Frames: 840
  [11:59:35.176] [Renderer] [INFO] FPS: 3076.92 | Avg: 1959.49 | Min: 70.10 | Max: 5780.35 | Frames: 900
  [11:59:35.203] [Renderer] [INFO] FPS: 3610.11 | Avg: 1972.44 | Min: 70.10 | Max: 5780.35 | Frames: 960
  [11:59:35.229] [Renderer] [INFO] FPS: 1584.79 | Avg: 1990.18 | Min: 70.10 | Max: 5780.35 | Frames: 1020
  [11:59:35.252] [Renderer] [INFO] FPS: 2881.84 | Avg: 2016.74 | Min: 70.10 | Max: 5780.35 | Frames: 1080
  [11:59:35.278] [Renderer] [INFO] FPS: 3610.11 | Avg: 2029.29 | Min: 70.10 | Max: 5780.35 | Frames: 1140
  [11:59:35.304] [Renderer] [INFO] FPS: 2739.73 | Avg: 2041.58 | Min: 70.10 | Max: 5847.95 | Frames: 1200
  [11:59:35.330] [Renderer] [INFO] FPS: 1197.60 | Avg: 2054.05 | Min: 70.10 | Max: 5988.02 | Frames: 1260
  [11:59:35.351] [Renderer] [INFO] FPS: 3144.65 | Avg: 2079.73 | Min: 70.10 | Max: 5988.02 | Frames: 1320
  [11:59:35.377] [Renderer] [INFO] FPS: 3246.75 | Avg: 2090.74 | Min: 70.10 | Max: 5988.02 | Frames: 1380
  [11:59:35.402] [Renderer] [INFO] FPS: 1923.08 | Avg: 2099.89 | Min: 70.10 | Max: 5988.02 | Frames: 1440
  [11:59:35.423] [Renderer] [INFO] FPS: 2865.33 | Avg: 2124.25 | Min: 70.10 | Max: 5988.02 | Frames: 1500
  [11:59:35.448] [Renderer] [INFO] FPS: 3115.26 | Avg: 2131.85 | Min: 70.10 | Max: 5988.02 | Frames: 1560
  [11:59:35.473] [Renderer] [INFO] FPS: 3067.48 | Avg: 2142.80 | Min: 70.10 | Max: 5988.02 | Frames: 1620
  [11:59:35.498] [Renderer] [INFO] FPS: 1805.05 | Avg: 2150.01 | Min: 70.10 | Max: 5988.02 | Frames: 1680
  [11:59:35.519] [Renderer] [INFO] FPS: 2801.12 | Avg: 2168.58 | Min: 70.10 | Max: 5988.02 | Frames: 1740
  [11:59:35.544] [Renderer] [INFO] FPS: 2923.98 | Avg: 2176.84 | Min: 70.10 | Max: 5988.02 | Frames: 1800
  [11:59:35.567] [Renderer] [INFO] FPS: 3533.57 | Avg: 2188.02 | Min: 70.10 | Max: 6369.43 | Frames: 1860
  [11:59:35.585] [Renderer] [INFO] FPS: 3174.60 | Avg: 2211.58 | Min: 70.10 | Max: 6369.43 | Frames: 1920
  [11:59:35.610] [Renderer] [INFO] FPS: 2500.00 | Avg: 2216.33 | Min: 70.10 | Max: 6369.43 | Frames: 1980
  [11:59:35.636] [Renderer] [INFO] FPS: 2717.39 | Avg: 2220.35 | Min: 70.10 | Max: 6369.43 | Frames: 2040
  [11:59:35.656] [Renderer] [INFO] FPS: 5617.98 | Avg: 2234.91 | Min: 70.10 | Max: 6369.43 | Frames: 2100
  [11:59:35.684] [Renderer] [INFO] FPS: 2958.58 | Avg: 2234.18 | Min: 70.10 | Max: 6369.43 | Frames: 2160
  [11:59:35.710] [Renderer] [INFO] FPS: 3021.15 | Avg: 2234.25 | Min: 70.10 | Max: 6369.43 | Frames: 2220
  [11:59:35.738] [Renderer] [INFO] FPS: 1461.99 | Avg: 2233.91 | Min: 70.10 | Max: 6369.43 | Frames: 2280
  [11:59:35.767] [Renderer] [INFO] FPS: 2680.97 | Avg: 2229.24 | Min: 70.10 | Max: 6369.43 | Frames: 2340
  [11:59:35.794] [Renderer] [INFO] FPS: 3174.60 | Avg: 2229.12 | Min: 70.10 | Max: 6369.43 | Frames: 2400
  [11:59:35.816] [Renderer] [INFO] FPS: 3003.00 | Avg: 2238.66 | Min: 70.10 | Max: 6369.43 | Frames: 2460
  [11:59:35.841] [Renderer] [INFO] FPS: 3125.00 | Avg: 2241.12 | Min: 70.10 | Max: 6369.43 | Frames: 2520
  [11:59:35.865] [Renderer] [INFO] FPS: 3115.26 | Avg: 2246.50 | Min: 70.10 | Max: 6369.43 | Frames: 2580
  [11:59:35.885] [Renderer] [INFO] FPS: 2066.12 | Avg: 2259.71 | Min: 70.10 | Max: 6369.43 | Frames: 2640
  [11:59:35.910] [Renderer] [INFO] FPS: 5586.59 | Avg: 2262.93 | Min: 70.10 | Max: 6369.43 | Frames: 2700
  [11:59:35.935] [Renderer] [INFO] FPS: 3105.59 | Avg: 2265.73 | Min: 70.10 | Max: 6369.43 | Frames: 2760
  [11:59:35.955] [Renderer] [INFO] FPS: 2659.57 | Avg: 2278.28 | Min: 70.10 | Max: 6369.43 | Frames: 2820
  [11:59:35.978] [Renderer] [INFO] FPS: 3134.80 | Avg: 2284.70 | Min: 70.10 | Max: 6369.43 | Frames: 2880
  [11:59:36.001] [Renderer] [INFO] FPS: 3496.50 | Avg: 2289.41 | Min: 70.10 | Max: 6369.43 | Frames: 2940
  [11:59:36.021] [Renderer] [INFO] FPS: 1851.85 | Avg: 2300.18 | Min: 70.10 | Max: 6369.43 | Frames: 3000
  [11:59:36.045] [Renderer] [INFO] FPS: 3030.30 | Avg: 2303.80 | Min: 70.10 | Max: 6369.43 | Frames: 3060
