frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,116004,0.00862036,0,0,0
2,3.3742,0.0172402,0,0,0
3,2.4982,0.0258598,0,0,0
4,2.5994,0.0344789,0,0,0
5,67.322,0.0430737,0,0,27.5305
6,160.186,0.0516172,0,0,27.2558
7,73.6676,0.0601819,0,0,27.4443
8,81.8535,0.068731,0,0,27.2066
9,81.0853,0.0772685,0,0,27.2195
10,78.0994,0.0857964,0,0,27.1932
11,59.7912,0.0943276,0,0,27.0708
12,70.4566,0.102841,0,0,27.0951
13,83.6694,0.111331,0,0,27.1869
14,77.0094,0.119816,0,0,27.3279
15,74.6309,0.128292,0,0,27.4857
16,83.2722,0.136748,0,0,27.2225
17,80.4282,0.145195,0,0,27.0609
18,77.6867,0.153633,0,0,27.1947
19,60.2836,0.162085,0,0,27.093
20,70.232,0.170514,0,0,27.4307
21,82.5065,0.178914,0,0,27.0541
22,77.7764,0.187309,0,0,27.237
23,74.0535,0.1957,0,0,26.9873
24,82.851,0.204065,0,0,27.1897
25,80.0753,0.212423,0,0,27.186
26,77.3829,0.220775,0,0,27.3388
27,59.5218,0.22915,0,0,26.9634
28,76.7075,0.237483,0,0,27.1187
29,82.105,0.245793,0,0,26.9747
30,77.277,0.254102,0,0,33.5794
31,73.8088,0.262408,0,0,26.9895
32,80.6494,0.270688,0,0,26.7065
33,79.5983,0.278959,0,0,26.8914
34,76.3296,0.287227,0,0,26.5991
35,58.6227,0.295529,0,0,26.815
36,67.7591,0.303799,0,0,26.6615
37,79.5023,0.312028,0,0,26.2156
38,74.6096,0.32026,0,0,26.3223
39,71.4639,0.32849,0,0,25.9626
40,77.1218,0.336694,0,0,25.9306
41,75.3211,0.344893,0,0,25.3619
42,72.1278,0.35309,0,0,25.3127
43,56.5392,0.361326,0,0,25.37
44,63.9232,0.36953,0,0,25.2005
45,76.0837,0.377687,0,0,25.1153
46,70.3974,0.385852,0,0,24.7676
47,66.1643,0.394022,0,0,24.8419
48,73.4738,0.402157,0,0,24.6977
49,72.0113,0.410288,0,0,24.1854
50,68.6718,0.418421,0,0,24.1179
51,52.786,0.426601,0,0,23.9358
52,61.6956,0.434741,0,0,24.0161
53,71.984,0.442835,0,0,23.5041
54,66.992,0.450938,0,0,23.5567
55,63.4079,0.459046,0,0,23.3932
56,74.4162,0.467102,0,0,23.4652
57,68.8564,0.47517,0,0,23.0178
58,65.6651,0.483242,0,0,23.235
59,50.2151,0.491368,0,0,22.9174
60,58.8827,0.499451,0,0,22.9839
