frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,160718,0.00622209,0,0,0
2,3.899,0.0124439,0,0,0
3,2.8248,0.0186655,0,0,0
4,4.0476,0.0248867,0,0,0
5,163.306,0.0310768,0,0,122.666
6,229.821,0.037239,0,0,28.3096
7,111.443,0.0434155,0,0,27.9818
8,105.356,0.0495853,0,0,28.258
9,128.741,0.0557389,0,0,27.9274
10,116.087,0.0618877,0,0,28.0491
11,117.712,0.0680269,0,0,28.1285
12,90.3614,0.0741697,0,0,28.4765
13,99.082,0.0803013,0,0,28.1812
14,118.271,0.0864152,0,0,34.0671
15,111.897,0.0925238,0,0,27.7999
16,104.577,0.0986284,0,0,28.2731
17,125.151,0.104712,0,0,28.0621
18,118.847,0.11079,0,0,28.1265
19,118.82,0.11686,0,0,28.3182
20,83.8829,0.122947,0,0,28.3652
21,105.56,0.129011,0,0,28.3603
22,118.738,0.135055,0,0,28.1002
23,112.612,0.141097,0,0,33.8783
24,105.259,0.147136,0,0,27.937
25,125.356,0.153149,0,0,28.2755
26,118.017,0.15916,0,0,28.2829
27,118.879,0.165162,0,0,28.5337
28,84.4237,0.17119,0,0,28.0584
29,99.856,0.177196,0,0,28.3141
30,122.869,0.183169,0,0,27.9438
31,112.007,0.189145,0,0,28.2019
32,104.204,0.195123,0,0,32.0673
33,126.119,0.201066,0,0,28.3876
34,118.906,0.207008,0,0,27.9635
35,118.133,0.212944,0,0,28.5964
36,84.024,0.218916,0,0,28.3537
37,98.9175,0.224862,0,0,28.1446
38,118.315,0.230773,0,0,28.2363
39,116.665,0.236678,0,0,28.0014
40,102.379,0.242596,0,0,28.0164
41,121.998,0.248477,0,0,34.2223
42,114.006,0.254362,0,0,27.4821
43,113.681,0.260239,0,0,27.1588
44,81.5355,0.26616,0,0,27.3075
45,95.1494,0.272052,0,0,27.1588
46,111.285,0.277911,0,0,27.0955
47,103.738,0.283775,0,0,26.7662
48,97.3888,0.289642,0,0,26.5278
49,115.358,0.295471,0,0,26.214
50,106.476,0.301307,0,0,26.0364
51,105.697,0.307138,0,0,25.9606
52,75.5164,0.313018,0,0,25.526
53,89.6726,0.318865,0,0,25.1711
54,104.333,0.324678,0,0,25.4309
55,96.9765,0.330498,0,0,25.0345
56,90.496,0.336324,0,0,24.7219
57,108.007,0.342108,0,0,24.3757
58,100.946,0.347899,0,0,24.3358
59,100.633,0.353683,0,0,24.2721
60,71.3441,0.359524,0,0,23.7566
