frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,137578,0.00726862,0,0,0
2,2.8896,0.0145369,0,0,0
3,2.3115,0.021805,0,0,0
4,3.342,0.0290727,0,0,0
5,262.726,0.0362716,0,0,166.059
6,156.839,0.0434764,0,0,43.6089
7,76.3361,0.0506945,0,0,37.2531
8,70.9833,0.0579067,0,0,37.2309
9,77.5291,0.0651086,0,0,37.3279
10,213.311,0.0722314,0,0,38.0463
11,5.0675,0.0794516,0,0,37.3971
12,75.8992,0.086627,0,0,37.4658
13,3.5785,0.0938435,0,0,37.3846
14,69.6467,0.101011,0,0,43.9791
15,2.5107,0.108225,0,0,37.3911
16,142.001,0.115321,0,0,37.2736
17,2.627,0.122527,0,0,37.3928
18,156.477,0.129588,0,0,37.3251
19,2.5738,0.136785,0,0,48.0097
20,282.973,0.143691,0,0,37.4969
21,3.4662,0.150872,0,0,37.0666
22,3.5304,0.158052,0,0,37.712
23,77.2868,0.165145,0,0,37.7226
24,2.4385,0.172322,0,0,42.878
25,139.511,0.179323,0,0,37.3866
26,2.496,0.186492,0,0,37.1774
27,145.296,0.193463,0,0,37.123
28,3.0178,0.200624,0,0,37.9789
29,146.148,0.207572,0,0,43.3964
30,230.457,0.214376,0,0,37.5053
31,3.0765,0.221517,0,0,38.0385
32,2.6332,0.228658,0,0,37.1616
33,2.6446,0.2358,0,0,41.4032
34,64.44,0.242833,0,0,37.1582
35,77.7666,0.249837,0,0,40.9011
36,142.266,0.256714,0,0,37.3836
37,71.0112,0.263712,0,0,37.5366
38,74.1381,0.270696,0,0,37.3601
39,76.6589,0.277668,0,0,37.4647
40,223.939,0.284334,0,0,37.3297
41,3.105,0.291436,0,0,37.6123
42,2.6838,0.298539,0,0,37.4664
43,76.9208,0.30548,0,0,37.6498
44,2.7206,0.312578,0,0,44.7391
45,149.091,0.319344,0,0,37.8069
46,2.5472,0.326434,0,0,37.7148
47,151.45,0.333172,0,0,37.267
48,2.6346,0.340255,0,0,37.6958
49,145.557,0.346985,0,0,43.3833
50,215.054,0.353528,0,0,37.404
51,2.8205,0.360592,0,0,37.4541
52,2.6351,0.367655,0,0,38.0333
53,2.7878,0.374718,0,0,38.042
54,70.4376,0.381598,0,0,37.1842
55,77.6447,0.388452,0,0,37.4624
56,144.496,0.395111,0,0,37.3373
57,82.746,0.401932,0,0,37.3196
58,92.5142,0.408717,0,0,43.2702
59,72.6627,0.415551,0,0,37.3376
60,208.715,0.421974,0,0,37.5714
