frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,121352,0.00824048,0,0,0
2,3.6282,0.0164805,0,0,0
3,4.406,0.0247198,0,0,0
4,24.3784,0.0329531,0,0,0
5,69.0578,0.041168,0,0,27.3158
6,162.484,0.0493356,0,0,26.9099
7,70.3072,0.0575249,0,0,26.8185
8,80.6241,0.0656993,0,0,26.7464
9,80.8767,0.0738626,0,0,27.0291
10,185.846,0.0819446,0,0,27.1783
11,3.5008,0.0901364,0,0,26.8764
12,80.7335,0.0982657,0,0,36.8927
13,3.1984,0.106452,0,0,26.6705
14,24.1457,0.114618,0,0,26.7978
15,75.5041,0.122729,0,0,26.8275
16,153.588,0.130746,0,0,26.5269
17,79.9352,0.138827,0,0,26.4527
18,75.7007,0.146903,0,0,26.6268
19,58.8251,0.15499,0,0,26.634
20,196.724,0.162886,0,0,26.6038
21,2.8719,0.171026,0,0,26.5019
22,72.4479,0.179064,0,0,26.6159
23,4.2866,0.187197,0,0,26.5613
24,24.6158,0.195297,0,0,26.4004
25,80.1619,0.203302,0,0,29.2641
26,153.694,0.21117,0,0,26.054
27,58.4556,0.219188,0,0,26.4912
28,68.7746,0.227179,0,0,26.0859
29,80.1304,0.23514,0,0,26.6569
30,196.423,0.242861,0,0,26.5274
31,3.04,0.25095,0,0,26.3249
32,83.542,0.25887,0,0,25.9432
33,2.6194,0.266954,0,0,26.0994
34,23.685,0.274991,0,0,32.1366
35,75.0929,0.282907,0,0,26.4223
36,125.889,0.290695,0,0,26.2248
37,84.0349,0.298567,0,0,26.2206
38,75.5753,0.306449,0,0,26.1972
39,69.641,0.314337,0,0,30.9436
40,201.265,0.321875,0,0,25.8883
41,3.1457,0.329914,0,0,25.7239
42,56.2395,0.337807,0,0,25.7652
43,2.6137,0.345843,0,0,25.9758
44,23.2689,0.35382,0,0,25.4805
45,67.0936,0.361666,0,0,26.0012
46,152.573,0.36925,0,0,25.8937
47,70.03,0.377066,0,0,25.7139
48,77.7177,0.384848,0,0,25.5075
49,76.6013,0.392625,0,0,25.5567
50,171.146,0.400089,0,0,25.6924
51,3.3555,0.40808,0,0,25.6772
52,81.0263,0.415812,0,0,25.5776
53,2.9029,0.423798,0,0,28.1094
54,22.4866,0.431717,0,0,29.9952
55,73.0619,0.439455,0,0,25.4265
56,146.547,0.446922,0,0,25.5668
57,75.2915,0.454629,0,0,25.1111
58,73.2458,0.462335,0,0,25.5016
59,56.5431,0.470094,0,0,25.0449
60,187.263,0.47735,0,0,25.8042
