frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,117099,0.00853977,0,0,0
2,3.8796,0.017079,0,0,0
3,2.3364,0.0256179,0,0,0
4,2.5611,0.0341565,0,0,0
5,51.6644,0.0426768,0,0,29.8204
6,62.6556,0.0511848,0,0,29.4269
7,125.678,0.0596517,0,0,29.7089
8,57.5047,0.0681399,0,0,29.3984
9,61.873,0.076617,0,0,29.3598
10,173.856,0.0850042,0,0,29.6515
11,2.5479,0.0935026,0,0,29.5416
12,2.129,0.102001,0,0,29.3239
13,61.5025,0.110443,0,0,29.0204
14,60.329,0.118878,0,0,35.3923
15,62.0521,0.127302,0,0,29.3116
16,2.2628,0.135787,0,0,29.1442
17,113.141,0.144135,0,0,29.3133
18,2.4652,0.15261,0,0,29.4174
19,117.83,0.160928,0,0,29.1923
20,169.896,0.169154,0,0,29.1135
21,2.3344,0.177608,0,0,29.3544
22,2.0658,0.186063,0,0,29.3195
23,2.1326,0.194517,0,0,29.1923
24,60.378,0.20287,0,0,34.4764
25,53.3661,0.211228,0,0,29.1098
26,121.447,0.219452,0,0,29.4002
27,60.4049,0.227776,0,0,29.5947
28,54.3292,0.236104,0,0,29.4555
29,60.274,0.244412,0,0,30.029
30,182.937,0.252451,0,0,30.4844
31,2.5811,0.26086,0,0,30.0199
32,2.1946,0.26927,0,0,29.8204
33,66.7803,0.277529,0,0,30.428
34,2.1453,0.285934,0,0,36.1996
35,122.196,0.294041,0,0,30.0228
36,2.2072,0.302437,0,0,30.1387
37,117.625,0.310531,0,0,30.2908
38,2.5477,0.318917,0,0,30.5512
39,62.2437,0.327139,0,0,31.2065
40,248.823,0.334828,0,0,30.43
41,2.7797,0.343191,0,0,30.4635
42,2.3748,0.351554,0,0,30.3589
43,63.4019,0.359734,0,0,30.4228
44,54.826,0.367931,0,0,35.1636
45,60.3068,0.376103,0,0,30.1349
46,2.1387,0.384454,0,0,30.7244
47,62.6624,0.392606,0,0,30.2317
48,62.1296,0.400751,0,0,30.2025
49,123.769,0.408678,0,0,35.0171
50,179.372,0.416396,0,0,30.3465
51,2.7665,0.424714,0,0,30.2593
52,2.3707,0.433033,0,0,30.192
53,56.6598,0.441152,0,0,30.135
54,2.4579,0.449467,0,0,29.9767
55,125.825,0.457311,0,0,30.0531
56,2.3508,0.465617,0,0,30.5985
57,116.431,0.473473,0,0,29.914
58,3.241,0.481767,0,0,30.504
59,125.876,0.489561,0,0,35.006
60,175.814,0.497134,0,0,30.233
