frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,163040,0.00613348,0,0,0
2,3.4017,0.0122667,0,0,0
3,2.6718,0.0183998,0,0,0
4,3.74,0.0245325,0,0,0
5,141.45,0.030639,0,0,87.3284
6,362.45,0.0366853,0,0,34.4027
7,161.57,0.0427573,0,0,34.4164
8,182.588,0.048811,0,0,34.2869
9,176.936,0.0548532,0,0,34.624
10,164.831,0.0608868,0,0,34.0396
11,121.928,0.0669258,0,0,34.399
12,145.104,0.0729456,0,0,34.0464
13,183.609,0.0789363,0,0,34.4556
14,167.352,0.084922,0,0,34.5096
15,158.092,0.0909007,0,0,33.9198
16,175.957,0.0968574,0,0,33.9786
17,167.307,0.102807,0,0,33.9351
18,153.12,0.108754,0,0,33.1546
19,112.346,0.114718,0,0,32.7589
20,129.879,0.120661,0,0,31.5651
21,162.448,0.12657,0,0,31.1573
22,149.753,0.132477,0,0,30.5318
23,138.706,0.138384,0,0,29.9551
24,154.505,0.144266,0,0,29.4174
25,147.13,0.150144,0,0,29.5942
26,136.379,0.156022,0,0,28.9584
27,99.4146,0.161927,0,0,28.6119
28,116.692,0.167806,0,0,27.512
29,144.677,0.173649,0,0,27.6951
30,133.815,0.179493,0,0,27.4189
31,124.35,0.185338,0,0,26.9952
32,139.927,0.191157,0,0,26.7548
33,141.547,0.196964,0,0,26.4989
34,123.256,0.202784,0,0,26.4087
35,90.7419,0.208635,0,0,25.5749
36,107.186,0.214459,0,0,25.3462
37,133.932,0.22024,0,0,25.2599
38,124.383,0.226025,0,0,25.2385
39,116.115,0.231813,0,0,25.2281
40,130.762,0.237573,0,0,24.8554
41,124.787,0.243332,0,0,24.9279
42,117,0.249094,0,0,24.2396
43,86.472,0.254894,0,0,24.1814
44,101.412,0.260665,0,0,24.4445
45,128.113,0.266387,0,0,23.8532
46,119.089,0.272115,0,0,23.9816
47,110.757,0.277848,0,0,24.2087
48,126.377,0.283548,0,0,23.7294
49,121.295,0.289248,0,0,23.7909
50,112.126,0.294956,0,0,23.5255
51,84.7305,0.300704,0,0,23.2483
52,99.5507,0.306421,0,0,23.056
53,125.082,0.312083,0,0,23.4895
54,115.516,0.317756,0,0,23.5777
55,109.523,0.323432,0,0,23.2941
56,123.999,0.329072,0,0,23.3136
57,119.285,0.334714,0,0,23.2646
58,110.953,0.340364,0,0,23.6169
59,82.0972,0.346066,0,0,23.4848
60,99.7951,0.351726,0,0,22.7571
