frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,144153,0.00693709,0,0,0
2,10.0377,0.0138732,0,0,0
3,8.062,0.0208087,0,0,0
4,4.0996,0.0277441,0,0,0
5,142.986,0.0346457,0,0,39.5955
6,493.84,0.0414331,0,0,44.8106
7,5.0366,0.0483369,0,0,40.4609
8,313.961,0.0551227,0,0,42.2139
9,4.9721,0.0620109,0,0,42.8215
10,409.059,0.0687074,0,0,41.5592
11,6.0781,0.075575,0,0,39.0521
12,5.4156,0.0824424,0,0,42.1981
13,342.399,0.089103,0,0,45.247
14,3.2562,0.0959549,0,0,45.9146
15,3.0632,0.102807,0,0,44.4812
16,155.688,0.109544,0,0,42.4676
17,162.275,0.116261,0,0,38.7174
18,350.419,0.122805,0,0,41.3715
19,120.397,0.129522,0,0,41.3369
20,475.623,0.135898,0,0,48.5801
21,4.0162,0.142689,0,0,41.3267
22,167.316,0.149314,0,0,37.7281
23,3.3009,0.156097,0,0,42.5672
24,166.905,0.1627,0,0,48.7201
25,140.451,0.169318,0,0,44.8287
26,172.092,0.175885,0,0,42.4158
27,3.0301,0.182647,0,0,50.6274
28,248.833,0.189093,0,0,43.1508
29,3.2195,0.195842,0,0,44.2808
30,603.492,0.201773,0,0,41.6645
31,5.1074,0.208491,0,0,39.9724
32,3.71,0.215212,0,0,40.9565
33,159.436,0.221699,0,0,39.891
34,3.4241,0.228412,0,0,49.4922
35,137.014,0.234914,0,0,41.504
36,126.418,0.241421,0,0,44.3217
37,305.27,0.24762,0,0,41.2239
38,176.555,0.254012,0,0,40.8876
39,186.778,0.260372,0,0,44.4703
40,481.613,0.266192,0,0,42.9173
41,4.2293,0.272839,0,0,43.9536
42,118.796,0.279273,0,0,43.8242
43,2.9866,0.285917,0,0,44.333
44,133.9,0.292306,0,0,42.3763
45,2.857,0.298944,0,0,44.922
46,311.847,0.304955,0,0,41.5275
47,3.734,0.311577,0,0,42.7498
48,318.221,0.317536,0,0,41.9206
49,2.7224,0.324146,0,0,40.9898
50,557.342,0.329546,0,0,42.0154
51,4.2732,0.336127,0,0,42.52
52,171.494,0.342331,0,0,39.8141
53,3.0865,0.348907,0,0,44.7116
54,171.425,0.35509,0,0,42.957
55,2.6563,0.361659,0,0,40.9266
56,271.716,0.367578,0,0,43.2118
57,2.7536,0.374135,0,0,39.1616
58,328.229,0.37988,0,0,43.1421
59,2.9893,0.386423,0,0,39.4066
60,612.121,0.391403,0,0,42.9164
