frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,116935,0.00855175,0,0,0
2,3.1212,0.017103,0,0,0
3,2.6288,0.025654,0,0,0
4,2.4096,0.0342046,0,0,0
5,52.7854,0.0427365,0,0,31.1509
6,62.2898,0.0512565,0,0,26.9114
7,122.163,0.0597369,0,0,30.2182
8,62.6895,0.0682342,0,0,29.7086
9,61.762,0.0767231,0,0,29.6019
10,61.7909,0.085203,0,0,29.9708
11,56.2135,0.0936784,0,0,29.496
12,65.0138,0.102138,0,0,29.4443
13,61.5189,0.110592,0,0,29.3292
14,62.4089,0.119036,0,0,36.0028
15,58.1808,0.127475,0,0,29.3281
16,62.6175,0.135901,0,0,29.5595
17,62.8403,0.144318,0,0,29.806
18,60.3635,0.152729,0,0,29.601
19,53.3273,0.161141,0,0,29.3519
20,58.5926,0.169538,0,0,29.2461
21,66.5215,0.177914,0,0,29.3907
22,62.5512,0.186288,0,0,29.3004
23,57.5616,0.19466,0,0,34.9733
24,62.7898,0.203016,0,0,29.3756
25,63.4532,0.211362,0,0,29.5409
26,61.1855,0.219702,0,0,29.454
27,54.3221,0.228048,0,0,29.693
28,65.299,0.236364,0,0,29.7201
29,62.265,0.244677,0,0,29.9828
30,73.9777,0.252956,0,0,35.6375
31,59.0012,0.261258,0,0,30.0018
32,63.4822,0.269541,0,0,40.6693
33,64.3018,0.277814,0,0,30.1773
34,62.3779,0.286082,0,0,30.1466
35,53.6293,0.294364,0,0,29.9053
36,60.2927,0.302621,0,0,30.0823
37,62.3631,0.310864,0,0,29.8241
38,69.4111,0.319079,0,0,30.4773
39,59.4364,0.327313,0,0,30.1372
40,63.2993,0.335527,0,0,36.1187
41,64.3696,0.34373,0,0,29.9957
42,61.608,0.351932,0,0,29.7995
43,54.0468,0.360148,0,0,29.9587
44,66.5734,0.368318,0,0,29.7192
45,62.3474,0.376493,0,0,30.0525
46,63.2579,0.384655,0,0,30.0215
47,65.9243,0.392801,0,0,30.1742
48,63.9614,0.400944,0,0,30.0182
49,64.2888,0.409077,0,0,36.9738
50,61.7116,0.417211,0,0,30.327
51,54.6153,0.425361,0,0,29.9512
52,60.2453,0.433484,0,0,30.1226
53,62.6586,0.44159,0,0,30.0739
54,63.0881,0.449685,0,0,29.9823
55,64.7245,0.457766,0,0,30.9941
56,64.6593,0.465838,0,0,29.6636
57,64.5154,0.473902,0,0,36.0241
58,61.929,0.481968,0,0,30.2219
59,54.5547,0.490056,0,0,31.0764
60,65.9677,0.498089,0,0,29.8457
