frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,132735,0.00753383,0,0,0
2,2.1521,0.0150674,0,0,0
3,1.9186,0.0226008,0,0,0
4,145.179,0.0301015,0,0,0
5,102.508,0.0375978,0,0,144.774
6,168.123,0.0450604,0,0,32.4289
7,80.9052,0.0525386,0,0,31.8191
8,76.3151,0.0600097,0,0,31.5672
9,84.8355,0.067468,0,0,31.6306
10,190.457,0.0748576,0,0,31.1132
11,3.5764,0.0823411,0,0,31.5071
12,76.379,0.0897753,0,0,31.1971
13,4.5435,0.0972533,0,0,30.3328
14,24.5673,0.104715,0,0,35.4507
15,84.0698,0.112124,0,0,30.8464
16,153.722,0.119462,0,0,30.5216
17,83.4706,0.126849,0,0,30.1733
18,81.4827,0.134229,0,0,30.6122
19,78.8763,0.141603,0,0,30.6764
20,193.571,0.148841,0,0,30.7156
21,2.2491,0.156281,0,0,31.1303
22,81.9193,0.163623,0,0,31.2085
23,1.9258,0.171058,0,0,31.7898
24,30.986,0.178454,0,0,32.5574
25,71.526,0.185791,0,0,32.7886
26,173.213,0.192974,0,0,32.0934
27,82.7789,0.200273,0,0,33.0872
28,65.1456,0.20759,0,0,36.8681
29,76.5735,0.214882,0,0,32.5024
30,215.781,0.221937,0,0,31.9944
31,2.7232,0.22933,0,0,32.269
32,85.8692,0.236578,0,0,32.3665
33,3.1713,0.243965,0,0,32.3533
34,34.1041,0.251295,0,0,31.8883
35,85.8315,0.258522,0,0,37.0887
36,146.018,0.265622,0,0,32.7212
37,75.0326,0.272849,0,0,31.9699
38,87.7126,0.280042,0,0,32.0741
39,83.4092,0.287235,0,0,31.8875
40,218.096,0.294128,0,0,31.9349
41,2.9347,0.301474,0,0,32.055
42,81.4778,0.308643,0,0,31.9045
43,2.7524,0.315985,0,0,32.1444
44,28.7447,0.323265,0,0,32.38
45,74.5747,0.330431,0,0,31.8961
46,168.086,0.337357,0,0,31.9776
47,82.4565,0.344483,0,0,32.3167
48,79.011,0.351609,0,0,32.5522
49,87.3747,0.358704,0,0,31.8551
50,200.534,0.365488,0,0,31.9635
51,2.8639,0.37279,0,0,32.3352
52,79.8239,0.379878,0,0,32.4693
53,2.4356,0.387177,0,0,32.1401
54,30.5735,0.394394,0,0,37.7391
55,88.5687,0.401438,0,0,32.2022
56,163.286,0.40825,0,0,33.0957
57,87.4955,0.415275,0,0,32.0737
58,87.1002,0.422293,0,0,32.219
59,82.0964,0.429317,0,0,32.063
60,194.4,0.435977,0,0,32.4552
