frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,128257,0.00779687,0,0,0
2,3.2514,0.0155933,0,0,0
3,2.6135,0.0233895,0,0,0
4,3.8547,0.0311851,0,0,0
5,167.788,0.0389305,0,0,138.965
6,151.71,0.0466614,0,0,38.0341
7,71.8181,0.0544079,0,0,37.5285
8,75.9907,0.0621438,0,0,37.1293
9,78.7226,0.0698691,0,0,37.4749
10,216.307,0.0775021,0,0,38.1471
11,4.1263,0.0852496,0,0,46.0462
12,3.515,0.0929971,0,0,37.783
13,69.9954,0.100692,0,0,37.8453
14,2.6006,0.108436,0,0,37.5062
15,145.359,0.11605,0,0,37.6356
16,3.2025,0.123784,0,0,37.6982
17,157.036,0.131361,0,0,43.7247
18,2.561,0.139085,0,0,37.1306
19,137.388,0.146656,0,0,37.4445
20,218.809,0.154115,0,0,37.9551
21,3.0963,0.161817,0,0,37.6422
22,2.6254,0.169519,0,0,37.1223
23,2.4656,0.177221,0,0,37.3984
24,72.7609,0.184823,0,0,44.3652
25,88.9385,0.192392,0,0,49.5767
26,151.038,0.199855,0,0,37.512
27,65.2507,0.207438,0,0,37.2937
28,71.4204,0.215003,0,0,37.6001
29,74.0052,0.222555,0,0,37.7309
30,228.205,0.229827,0,0,37.2394
31,3.0687,0.237482,0,0,43.2355
32,2.535,0.245138,0,0,37.59
33,74.3065,0.252655,0,0,37.2052
34,2.4922,0.260306,0,0,37.2128
35,137.625,0.26768,0,0,38.1721
36,2.7761,0.275322,0,0,37.8303
37,157.261,0.28263,0,0,37.6756
38,3.2184,0.290262,0,0,37.1823
39,150.88,0.297557,0,0,43.1586
40,225.656,0.304662,0,0,37.8765
41,2.9362,0.312272,0,0,37.3682
42,2.7812,0.319881,0,0,38.0464
43,2.6591,0.327491,0,0,37.8993
44,60.4919,0.334953,0,0,38.2358
45,71.8569,0.342378,0,0,37.9501
46,158.042,0.349566,0,0,44.4915
47,71.0226,0.356973,0,0,37.28
48,76.8744,0.364355,0,0,37.3
49,77.594,0.371727,0,0,37.8459
50,211.811,0.378705,0,0,37.2566
51,3.8106,0.386268,0,0,37.3175
52,2.6672,0.393834,0,0,41.4884
53,76.5397,0.401175,0,0,37.6764
54,2.7756,0.408736,0,0,43.2598
55,145.076,0.415848,0,0,37.3256
56,2.5227,0.423401,0,0,37.2163
57,153.248,0.430463,0,0,37.9798
58,2.8525,0.438005,0,0,37.7545
59,135.183,0.445103,0,0,37.0694
60,226.949,0.451873,0,0,37.749
