frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,125304,0.00798056,0,0,0
2,3.4098,0.0159607,0,0,0
3,2.6318,0.0239405,0,0,0
4,4.2222,0.0319196,0,0,0
5,68.8543,0.0398776,0,0,127.819
6,159.913,0.0477922,0,0,27.1317
7,73.9015,0.0557248,0,0,27.4243
8,81.1697,0.0636443,0,0,27.021
9,83.0657,0.0715526,0,0,27.0132
10,76.4333,0.0794546,0,0,26.8628
11,59.6865,0.0873586,0,0,27.5667
12,70.7407,0.0952468,0,0,27.1678
13,82.9755,0.103116,0,0,27.2989
14,77.978,0.110979,0,0,26.9633
15,73.9903,0.118837,0,0,27.1465
16,80.6923,0.126678,0,0,26.9051
17,80.8225,0.13451,0,0,27.1529
18,76.7578,0.142336,0,0,27.0958
19,60.1615,0.150172,0,0,27.2713
20,70.4979,0.157987,0,0,26.7973
21,82.1237,0.165779,0,0,27.1234
22,76.7253,0.173568,0,0,27.2681
23,73.1438,0.181353,0,0,27.0049
24,80.8348,0.189118,0,0,27.0143
25,79.1174,0.196875,0,0,26.8513
26,76.5264,0.204626,0,0,26.5983
27,59.0626,0.212398,0,0,26.7322
28,74.1819,0.220136,0,0,26.5562
29,80.9054,0.227853,0,0,26.7533
30,75.2592,0.235571,0,0,32.2105
31,71.689,0.243286,0,0,26.3235
32,78.3452,0.25098,0,0,26.4883
33,78.0026,0.258665,0,0,26.3233
34,74.6492,0.266347,0,0,25.8346
35,57.271,0.274058,0,0,26.3109
36,66.7286,0.281741,0,0,26.0146
37,78.0568,0.28939,0,0,25.8087
38,72.2536,0.297044,0,0,25.4056
39,69.3776,0.304695,0,0,25.8359
40,76.594,0.312321,0,0,25.2355
41,76.102,0.319939,0,0,25.4231
42,72.116,0.327558,0,0,25.1304
43,55.6662,0.335212,0,0,25.6961
44,64.6494,0.342835,0,0,25.3924
45,75.9659,0.350419,0,0,25.0789
46,71.1917,0.358008,0,0,24.6762
47,67.8303,0.365597,0,0,24.7086
48,74.1855,0.373161,0,0,24.9634
49,73.6328,0.380717,0,0,24.5768
50,68.9199,0.388279,0,0,24.8392
51,54.0023,0.395878,0,0,24.2098
52,62.8769,0.403444,0,0,24.196
53,74.143,0.410966,0,0,24.336
54,68.1576,0.418499,0,0,24.2556
55,65.1977,0.426033,0,0,23.9799
56,71.9374,0.433538,0,0,23.9753
57,71.0646,0.441037,0,0,23.9763
58,66.9472,0.448542,0,0,23.6783
59,52.0944,0.456092,0,0,23.6998
60,59.6122,0.463609,0,0,23.5613
