frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,131632,0.00759695,0,0,0
2,2.9339,0.0151936,0,0,0
3,2.2963,0.0227899,0,0,0
4,3.5508,0.0303858,0,0,0
5,172.242,0.0379326,0,0,120.736
6,157.827,0.0454646,0,0,76.8169
7,78.434,0.0530106,0,0,27.4476
8,74.0226,0.0605496,0,0,27.288
9,81.8207,0.0680761,0,0,27.3315
10,81.3262,0.0755936,0,0,27.1717
11,75.7887,0.0831054,0,0,26.8935
12,60.7272,0.0906188,0,0,26.9089
13,69.704,0.0981188,0,0,27.0172
14,81.3414,0.105602,0,0,27.0845
15,77.1285,0.113079,0,0,26.9361
16,73.5355,0.12055,0,0,27.0894
17,80.9312,0.128007,0,0,26.7704
18,79.801,0.135455,0,0,26.5858
19,76.2755,0.142899,0,0,26.5082
20,67.0678,0.150344,0,0,26.599
21,69.3496,0.157779,0,0,26.8072
22,81.4729,0.165191,0,0,34.4386
23,76.433,0.1726,0,0,26.5348
24,73.1776,0.180006,0,0,26.766
25,80.3988,0.187393,0,0,26.7435
26,78.5035,0.194774,0,0,26.6164
27,75.2133,0.202152,0,0,26.578
28,58.8579,0.209546,0,0,26.375
29,67.8761,0.21692,0,0,26.3358
30,80.2706,0.224265,0,0,26.4311
31,74.3644,0.231612,0,0,26.0433
32,70.9443,0.238957,0,0,26.0864
33,78.6411,0.24628,0,0,25.8537
34,80.9183,0.253589,0,0,25.9141
35,73.892,0.260904,0,0,25.8244
36,57.4956,0.268244,0,0,29.5077
37,67.7223,0.275556,0,0,26.0013
38,77.2581,0.28284,0,0,25.7235
39,74.0281,0.290124,0,0,25.5126
40,69.5448,0.297409,0,0,25.3707
41,77.8586,0.304668,0,0,25.6109
42,76.958,0.31192,0,0,25.3757
43,73.7625,0.319172,0,0,25.7675
44,57.4884,0.326456,0,0,25.8477
45,67.129,0.333709,0,0,25.9855
46,79.0957,0.340925,0,0,25.9188
47,74.1245,0.348145,0,0,25.7149
48,75.7004,0.355353,0,0,25.787
49,79.6267,0.362542,0,0,26.085
50,77.0842,0.36973,0,0,30.9357
51,74.4023,0.376917,0,0,26.3223
52,57.6741,0.384144,0,0,25.959
53,67.7664,0.391336,0,0,25.9714
54,79.3933,0.398486,0,0,25.7739
55,74.5179,0.405642,0,0,26.0623
56,72.1857,0.412798,0,0,26.0909
57,78.7608,0.419925,0,0,26.1509
58,79.1373,0.427043,0,0,26.2294
59,73.9668,0.43417,0,0,26.0772
60,58.2837,0.441339,0,0,26.6118
