frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,139193,0.00718429,0,0,0
2,3.6175,0.0143682,0,0,0
3,5.1379,0.0215515,0,0,0
4,3.237,0.0287347,0,0,0
5,77.3886,0.0358984,0,0,142.988
6,88.1882,0.0430508,0,0,36.5069
7,173.833,0.0501634,0,0,35.5213
8,89.6535,0.0572928,0,0,35.536
9,93.1993,0.0644114,0,0,35.3327
10,92.4286,0.0715209,0,0,35.168
11,72.5958,0.0786322,0,0,35.9568
12,82.4541,0.08573,0,0,39.9734
13,88.4697,0.0928156,0,0,35.7304
14,91.2733,0.0998901,0,0,35.1425
15,81.3713,0.106963,0,0,36.1033
16,95.9976,0.114016,0,0,35.4146
17,93.33,0.121061,0,0,35.257
18,86.3818,0.128104,0,0,40.6236
19,72.7174,0.135151,0,0,35.5845
20,82.8546,0.14218,0,0,34.93
21,88.2729,0.149195,0,0,35.3134
22,96.3192,0.156193,0,0,35.6291
23,81.8501,0.163198,0,0,35.4814
24,92.0948,0.170182,0,0,41.133
25,92.5427,0.177157,0,0,35.106
26,86.8784,0.18413,0,0,36.2317
27,80.637,0.191103,0,0,35.5795
28,87.6599,0.198058,0,0,35.2778
29,87.9672,0.205004,0,0,42.9753
30,91.7585,0.211935,0,0,40.6357
31,81.4269,0.218874,0,0,35.2469
32,91.6546,0.225788,0,0,35.6532
33,92.4284,0.232692,0,0,35.153
34,92.1143,0.239588,0,0,35.784
35,73.286,0.246507,0,0,35.4857
36,82.7648,0.253403,0,0,40.3126
37,87.6185,0.260281,0,0,35.5898
38,90.607,0.267146,0,0,35.3922
39,85.9582,0.27401,0,0,35.1693
40,92.028,0.280854,0,0,35.1707
41,99.8268,0.287674,0,0,39.2178
42,87.1876,0.29451,0,0,35.9233
43,73.1922,0.301368,0,0,42.4819
44,83.1496,0.308197,0,0,35.5692
45,87.7613,0.315008,0,0,35.6146
46,91.631,0.321801,0,0,36.0023
47,87.8295,0.328595,0,0,35.3008
48,91.5483,0.335372,0,0,35.894
49,92.0966,0.342139,0,0,41.7431
50,96.5199,0.348886,0,0,35.3793
51,73.1942,0.355682,0,0,35.4273
52,81.8148,0.362449,0,0,35.1136
53,94.0265,0.369178,0,0,35.5029
54,90.6553,0.375906,0,0,35.1059
55,81.4308,0.38265,0,0,41.1068
56,90.6658,0.389362,0,0,35.6073
57,91.591,0.396063,0,0,35.0786
58,87.146,0.402767,0,0,35.424
59,77.5741,0.409491,0,0,35.3086
60,81.0493,0.416197,0,0,35.6666
