frame,cpu_frame_time_ms,steady_state_fps,boot_bytes_uploaded,steady_state_bytes_uploaded,esvo_traverse_shade_ms
1,138337,0.00722874,0,0,0
2,2.98,0.0144572,0,0,0
3,2.6948,0.0216853,0,0,0
4,5.3807,0.0289126,0,0,0
5,212.272,0.0360854,0,0,132.604
6,188.522,0.0432437,0,0,30.0265
7,62.0041,0.0504284,0,0,30.1372
8,3.9516,0.0576309,0,0,34.0784
9,60.3682,0.0648065,0,0,29.7429
10,166.995,0.0719208,0,0,29.9725
11,3.8155,0.0791107,0,0,29.8042
12,3.9453,0.0863001,0,0,29.7895
13,3.6111,0.0934894,0,0,29.8591
14,54.1914,0.100642,0,0,30.2145
15,62.8001,0.107782,0,0,30.2243
16,121.886,0.114867,0,0,29.9348
17,69.6613,0.121985,0,0,29.7387
18,60.3165,0.129104,0,0,35.6609
19,52.9629,0.136225,0,0,30.3148
20,180.619,0.143209,0,0,29.9318
21,2.9282,0.150367,0,0,29.694
22,2.7335,0.157524,0,0,30.031
23,65.5255,0.164607,0,0,29.9824
24,2.8722,0.17176,0,0,30.0575
25,127.875,0.178753,0,0,33.0995
26,2.4726,0.1859,0,0,29.9819
27,109.965,0.192898,0,0,29.5501
28,2.6673,0.200039,0,0,29.7652
29,117.825,0.207009,0,0,29.9825
30,182.429,0.213869,0,0,30.0284
31,3.1808,0.220993,0,0,29.8611
32,2.4798,0.228117,0,0,29.7727
33,2.6273,0.235242,0,0,30.2561
34,64.7157,0.242258,0,0,35.8449
35,59.8692,0.249277,0,0,30.088
36,111.398,0.256196,0,0,29.8049
37,62.2403,0.263196,0,0,30.1771
38,63.1172,0.270188,0,0,30.1981
39,58.9697,0.277182,0,0,30.0952
40,184.607,0.283917,0,0,29.8337
41,3.2664,0.291008,0,0,29.7549
42,2.6552,0.2981,0,0,29.9256
43,55.1472,0.305079,0,0,30.2938
44,2.5643,0.312168,0,0,35.4432
45,118.801,0.318994,0,0,30.2825
46,2.6634,0.326076,0,0,30.3094
47,118.325,0.332886,0,0,30.3016
48,2.3606,0.339963,0,0,29.658
49,125.28,0.346738,0,0,30.13
50,168.821,0.353392,0,0,30.0188
51,3.1556,0.360452,0,0,29.9517
52,2.8173,0.367512,0,0,30.1192
53,2.6755,0.374572,0,0,29.8349
54,62.2728,0.381472,0,0,35.993
55,62.9676,0.388363,0,0,30.0229
56,121.754,0.395085,0,0,29.8565
57,64.2848,0.401958,0,0,29.5655
58,60.9974,0.408834,0,0,30.1774
59,63.3604,0.415697,0,0,29.9767
60,181.558,0.422203,0,0,41.3121
